id_interview,id_node,is_ego,is_polish,department,scidegree,female
23,3,0,0,1,prof,0
23,4,0,1,2,drhab,1
23,5,0,1,3,prof,1
23,6,0,1,4,prof,1
23,7,0,1,NA,NA,NA
24,0,1,1,1,dr,0
24,1,0,1,NA,mgr,NA
24,2,0,1,1,dr,1
24,3,0,1,1,prof,1
24,4,0,1,NA,dr,1
24,5,0,1,1,mgr,1
24,6,0,1,1,mgr,1
24,7,0,0,NA,prof,0
24,8,0,0,NA,prof,0
24,9,0,0,NA,dr,1
24,10,0,1,2,prof,0
24,11,0,0,NA,NA,NA
24,12,0,1,NA,NA,NA
25,0,1,1,1,dr,0
25,1,0,1,1,prof,0
25,2,0,0,NA,dr,0
25,3,0,0,2,prof,0
25,4,0,0,2,dr,0
25,5,0,0,2,drhab,0
25,6,0,1,1,drhab,0
25,7,0,0,NA,prof,0
25,8,0,0,NA,prof,0
25,9,0,0,NA,dr,0
25,10,0,0,NA,prof,0
26,0,1,1,1,drhab,1
26,1,0,1,1,dr,NA
26,2,0,1,1,mgr,1
26,3,0,1,NA,NA,NA
26,4,0,1,NA,prof,0
26,5,0,1,NA,prof,1
26,6,0,1,NA,drhab,0
26,7,0,1,2,dr,1
26,8,0,0,NA,prof,1
26,9,0,0,NA,prof,0
26,10,0,1,NA,dr,1
27,0,1,1,1,prof,0
27,1,0,1,NA,prof,0
27,2,0,1,2,dr,0
27,3,0,1,2,dr,0
27,4,0,1,1,dr,1
27,5,0,1,1,dr,1
27,6,0,1,1,NA,NA
27,7,0,1,NA,mgr,1
27,8,0,1,NA,mgr,0
27,9,0,1,3,mgr,0
28,0,1,1,1,drhab,0
28,1,0,0,NA,NA,NA
28,2,0,0,NA,NA,NA
28,3,0,0,NA,NA,NA
28,4,0,0,NA,NA,NA
28,5,0,0,NA,NA,NA
28,6,0,0,NA,NA,NA
28,7,0,1,1,NA,NA
29,0,1,1,1,mgr,1
29,1,0,1,1,mgr,1
29,2,0,0,NA,prof,0
29,3,0,1,1,prof,0
29,4,0,1,1,drhab,1
29,5,0,1,1,dr,0
29,6,0,1,NA,dr,0
30,0,1,1,1,mgr,1
30,1,0,1,1,prof,0
30,2,0,1,1,dr,0
30,3,0,1,1,mgr,0
30,4,0,1,2,dr,1
30,5,0,1,2,dr,1
30,6,0,1,2,dr,1
30,7,0,1,1,drhab,1
31,0,1,1,9,drhab,1
31,1,0,1,9,drhab,0
31,2,0,1,9,dr,1
31,3,0,1,9,prof,0
31,4,0,1,9,mgr,0
31,5,0,1,9,drhab,1
31,6,0,1,9,dr,1
31,7,0,1,9,dr,1
32,0,1,1,1,dr,1
32,1,0,1,1,drhab,1
32,2,0,1,1,dr,1
32,3,0,1,1,prof,0
32,4,0,1,1,drhab,0
32,5,0,1,1,drhab,1
32,6,0,1,1,dr,1
32,7,0,1,1,mgr,1
32,8,0,1,2,dr,1
32,9,0,1,NA,mgr,1
32,10,0,1,2,mgr,0
32,11,0,1,3,mgr,0
33,0,1,1,1,dr,1
33,1,0,1,1,prof,0
33,2,0,1,1,dr,0
33,3,0,1,2,dr,0
33,4,0,1,1,mgr,0
33,5,0,1,1,dr,0
33,6,0,1,1,mgr,1
34,0,1,1,6,dr,1
34,1,0,1,6,dr,1
34,2,0,0,6,dr,1
34,3,0,1,5,dr,0
34,4,0,1,3,dr,1
